,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Minnesota
19,Missouri
20,Montana
21,New Hampshire
22,New Mexico
23,North Carolina
24,North Dakota
25,Ohio
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
